  500       5.200       1.833       0.000       0.000
 1000      10.000       2.000       3.200       1.600
 1500      32.000       0.000       7.200       1.600
 2000      53.200       1.833      13.200       1.833
 2500      93.600       2.653      22.000       2.000
 3000     124.800       2.400      32.000       0.000
 3500     188.400       4.176      42.400       1.960
 4000     258.400       4.800      54.400       1.960
 4500     319.600       6.053      70.000       2.000
 5000     355.600       7.031      86.000       2.000
 5500     459.200       8.352     104.400       1.200
 6000     509.600       8.980     124.000       0.000
 6500     613.600      10.307     143.600       1.200
 7000     690.800      24.334     174.000      22.145
 7500     868.800      14.400     192.000       0.000
 8000    2341.600      14.664     220.400       1.200
 8500    1111.600      20.195     245.600       1.960
 9000    1171.200      74.807     308.400      63.811
 9500    1496.800      21.151     308.000       0.000
10000    1578.400      24.671     356.800       1.600
