  500       0.800       1.600       0.400       1.200
 1000       5.200       1.833       1.600       1.960
 1500      12.000       1.789       4.000       0.000
 2000      24.800       1.600       7.200       1.600
 2500      33.600       2.653      11.600       1.200
 3000      50.400       2.653      16.400       1.200
 3500      68.000       3.098      22.800       1.833
 4000     185.600       3.666      30.000       2.000
 4500     168.800       5.307      37.200       1.833
 5000     269.600       6.248      46.000       2.000
 5500     342.000       7.430      55.200       1.600
 6000     417.600       7.632      65.600       1.960
 6500     479.200       9.600      76.000       0.000
 7000     567.200      10.998      89.600       1.960
 7500     638.000      14.114     103.200       1.600
 8000     754.800      15.184     117.200       1.833
 8500     819.600      17.568     132.000       0.000
 9000     937.600      19.530     148.000       0.000
 9500    1023.200      21.600     165.600       1.960
10000    1162.000      24.739     183.200       1.600
