  500       5.600       1.960       0.800       1.600
 1000      10.400       1.960       3.200       1.600
 1500      32.800       1.600       6.400       1.960
 2000      54.400       1.960      14.400       1.960
 2500      98.400       4.079      22.400       1.960
 3000     129.600       3.200      31.200       2.993
 3500     194.400       5.426      43.200       1.600
 4000     260.000      11.027      59.200       2.993
 4500     346.400      22.141      70.400       1.960
 5000     364.800       9.600      84.800       1.600
 5500     488.000      11.027     106.400       4.079
 6000     535.200      14.838     133.600       3.200
 6500     648.800      34.999     146.400       3.200
 7000     713.600      11.482     174.400       5.426
 7500     912.000      46.921     194.400       4.800
 8000    2566.400      64.973     251.200      15.052
 8500    1186.400      37.998     259.200      14.621
 9000    1213.600      40.446     295.200      14.838
 9500    1583.200      40.666     324.800      17.417
10000    1678.400      61.480     356.800      19.661
