  500       0.000       0.000       0.800       1.600
 1000       5.600       1.960       1.600       1.960
 1500      12.000       2.530       4.800       1.600
 2000      25.600       1.960       6.400       1.960
 2500      36.000       4.382      12.000       0.000
 3000      52.000       2.530      17.600       1.960
 3500      66.400       4.800      23.200       1.600
 4000     193.600       7.838      32.000       6.197
 4500     170.400       8.980      36.800       1.600
 5000     284.000      11.027      56.800      11.703
 5500     366.400      22.429      68.800      15.471
 6000     430.400      17.817      71.200       6.882
 6500     486.400      18.864      78.400       1.960
 7000     580.800      20.615      99.200      16.473
 7500     658.400      19.855     120.000      22.054
 8000     776.800      26.218     127.200      11.703
 8500     842.400      20.646     142.400      12.800
 9000     952.800      35.902     163.200      18.659
 9500    1040.800      26.218     172.800       6.400
10000    1176.000      35.145     189.600       6.974
