  500       1.600       1.960       0.800       1.600
 1000       7.200       1.600       2.400       1.960
 1500      20.000       0.000       4.000       0.000
 2000      45.600       1.960       9.600       1.960
 2500      75.200       2.993      15.200       1.600
 3000     114.400       3.200      24.000       0.000
 3500     162.400       4.079      32.800       1.600
 4000     216.800      10.553      42.400       1.960
 4500     275.200      11.143      58.400       8.980
 5000     337.600       8.616      77.600       5.987
 5500     405.600      16.704      86.400      12.290
 6000     471.200      11.703      96.800       1.600
 6500     549.600      10.613     116.800       5.879
 7000     670.400      26.242     144.000      20.861
 7500     776.800      24.967     168.800      15.052
 8000    1754.400     102.156     174.400       4.079
 8500     980.800      21.967     201.600       4.079
 9000    1066.400      42.528     214.400      11.200
 9500    1209.600      25.625     244.800       8.542
10000    1342.400      33.043     277.600      15.305
